"Date","Real Volume"
"2021-01-05","11926613.08669268"
"2021-01-06","4616644.6424421845"
"2021-01-07","652790.0894644781"
"2021-01-08","33896.33126920072"
"2021-01-09","151031.9395322286"
"2021-01-10","7713.523964745693"
"2021-01-11","78130.63065157866"
"2021-01-12","240.9377130392112"
"2021-01-13","83250.77934353604"
"2021-01-14","218735.6159702474"
"2021-01-15","4145.670419888288"
"2021-01-16","30953.287300115873"
"2021-01-17","20570.195374390554"
"2021-01-18","189653.1765071598"
"2021-01-19","5431.462623395746"
"2021-01-20","16980.7436308839"
"2021-01-21","16450.772602489404"
"2021-01-22","1826.0548639927108"
"2021-01-23","43252.43605381192"
"2021-01-24","336867.3269988519"
"2021-01-25","144810.09526262476"
"2021-01-26","603177.7159683784"
"2021-01-27","8090.261920181561"
"2021-01-28","86378.13712417461"
"2021-01-29","173632.0923661684"
"2021-01-30","54011.879014836275"
"2021-01-31","759073.6827857738"
"2021-02-01","1078250.9940063986"
"2021-02-02","1468650.946043954"
"2021-02-03","272383.57651548274"
"2021-02-04","381656.46693396504"
"2021-02-05","368052.30486250046"
"2021-02-06","238893.28639300642"
"2021-02-07","132561.84250593054"
"2021-02-08","140308.85563159647"
"2021-02-09","147145.29980255148"
"2021-02-10","161713.75210179275"
"2021-02-11","358440.11285540205"
"2021-02-12","1081157.3349125455"
"2021-02-13","303748.36442911066"
"2021-02-14","27184.59494135491"
"2021-02-15","77463.75923889129"
"2021-02-16","183985.62807161908"
"2021-02-17","233364.25040519785"
"2021-02-18","220459.93390739223"
"2021-02-19","23503.79943346611"
"2021-02-20","477.7905237494207"
"2021-02-21","2052.2130197306597"
"2021-02-22","10268.202400090888"
"2021-02-23","37729.68662344567"
"2021-02-24","45071.375306194765"
"2021-02-25","33782.07333650564"
"2021-02-26","6564.407506676756"
"2021-02-27","19450.067967141542"
"2021-02-28","94941.90262079341"
"2021-03-01","3032.632438939551"
"2021-03-02","209937.7430819606"
"2021-03-03","1897.935844716549"
"2021-03-04","131147.13931766467"
"2021-03-05","41549.147127673794"
"2021-03-06","3161.9970709906625"
"2021-03-07","41851.634158329274"
"2021-03-08","5538.825625570021"
"2021-03-09","5620.834489477426"
"2021-03-10","78370.72172603408"
"2021-03-11","12406.043027036156"
"2021-03-13","2300.4905055023964"
"2021-03-14","9305.251132484162"
"2021-03-15","726.6640974272607"
"2021-03-16","11517.113168001284"
"2021-03-17","1838.9320873855233"
"2021-03-18","14934.000814244553"
"2021-03-20","38184.38772063024"
"2021-03-21","2538.1721981118462"
"2021-03-22","5691.668643216896"
"2021-03-23","9960.792842986717"
"2021-03-24","4769.552201205628"
"2021-03-25","11660.800960937255"
"2021-03-26","15788.686669128434"
"2021-03-27","112014.26724020072"
"2021-03-28","73776.26718025669"
"2021-03-29","7203.657666484454"
"2021-03-30","76106.01367766234"
"2021-03-31","2500.7428026150187"
"2021-04-01","130509.82219465174"
"2021-04-02","40290.81983886008"
"2021-04-03","1072842.1066156116"
"2021-04-04","81315.97975666796"
"2021-04-05","29808.576112000526"
"2021-04-06","112237.95275131147"
"2021-04-07","3204.370894306411"
"2021-04-08","338775.3725509126"
"2021-04-09","94953.3069012511"
"2021-04-10","149081.82696627788"
"2021-04-11","194515.8273656083"
"2021-04-12","71996.03165164602"
"2021-04-13","5930.361938501253"
"2021-04-14","89005.07712948346"
"2021-04-15","20338.233850521403"
"2021-04-16","33537.41407023768"
"2021-04-17","25319.180834831266"
"2021-04-18","997.3766467650772"
"2021-04-19","4664.3983169921785"
"2021-04-20","3895.267626764272"
"2021-04-22","34921.139746663146"
"2021-04-23","37182.01711977243"
"2021-04-24","60319.77341717478"
"2021-04-25","243506.57575242288"
"2021-04-26","63759.197992984824"
"2021-04-27","321992.5531154377"
"2021-04-28","153775.04218771192"
"2021-04-29","465029.5129939928"
"2021-04-30","3954390.9021556354"
"2021-05-01","392515.60077557375"
"2021-05-02","879439.5766715299"
"2021-05-03","999631.7262907213"
"2021-05-04","980512.3523533841"
"2021-05-05","428861.29532354715"
"2021-05-06","1396577.024074321"
"2021-05-07","3599398.318478022"
"2021-05-08","11923487.574070988"
"2021-05-09","818124.7615102645"
"2021-05-10","598007.2740699765"
"2021-05-11","7522.091085128936"
"2021-05-12","591808.2170409902"
"2021-05-13","1970870.4469534785"
"2021-05-14","97126.83046490737"
"2021-05-15","710273.2649092957"
"2021-05-16","61956.451894123915"
"2021-05-17","1299232.3933956847"
"2021-05-18","802640.7023224477"
"2021-05-19","3090098.2892814535"
"2021-05-20","467353.8752118728"
"2021-05-21","655678.8833359162"
"2021-05-22","479476.8524145755"
"2021-05-23","463586.8448710901"
"2021-05-24","40123.724911746205"
"2021-05-25","1119983.8688965947"
"2021-05-26","17525.009990014827"
"2021-05-27","410375.731161696"
"2021-05-28","585601.850215537"
"2021-05-29","99693.09975967123"
"2021-05-30","224354.5339393017"
"2021-05-31","394017.7523224902"
"2021-06-01","15494.821531150224"
"2021-06-02","47477.15256372759"
"2021-06-03","688531.1241710859"
"2021-06-04","82047.13147774576"
"2021-06-05","259900.61882468002"
"2021-06-06","2442.834528370811"
"2021-06-07","499255.8517772267"
"2021-06-08","125971.80645573347"
"2021-06-09","410274.62078096607"
"2021-06-10","237320.50756165053"
"2021-06-11","941212.3061564333"
"2021-06-12","142423.11997997417"
"2021-06-13","152795.2921028761"
"2021-06-14","309626.38741238153"
"2021-06-15","470729.77375639294"
"2021-06-16","842703.6650682237"
"2021-06-17","48289.100171112346"
"2021-06-18","47701.59518894812"
"2021-06-19","33933.205015331754"
