"Date","Price (Close)"
"2020-09-12","2.4965324139491205"
"2020-09-13","1.8766286223202344"
"2020-09-14","1.9636091094532815"
"2020-09-15","1.6580018378426056"
"2020-09-16","1.5948074617535724"
"2020-09-17","1.21240765519917"
"2020-09-18","1.3903009490779008"
"2020-09-20","1.23505171703095"
"2020-09-22","1.4031254706457954"
"2020-09-23","1.1102331083627834"
"2020-09-24","1.3801613183871957"
"2020-09-25","1.3950634874421504"
"2020-09-26","1.4008141380096306"
"2020-09-27","1.3736559418007985"
"2020-09-29","1.150679549630922"
"2020-09-30","1.2201659109409182"
"2020-10-01","1.2547510142679796"
"2020-10-02","1.0552924459774848"
"2020-10-04","1.0297270853235834"
"2020-10-06","0.9673147134797379"
"2020-10-10","1.1078906610504715"
"2020-10-12","1.1691311690004085"
"2020-10-15",""
"2020-10-16",""
"2020-10-17",""
"2020-10-18",""
"2020-10-19","1.2094508956557226"
"2020-10-20","1.171336724088964"
"2020-10-21","1.1786815397890957"
"2020-10-22",""
"2020-10-23","1.230742328329145"
"2020-10-24",""
"2020-10-25","1.1792134105428604"
"2020-10-26",""
"2020-10-27","1.13172808245833"
"2020-10-28",""
"2020-10-29",""
"2020-10-30",""
"2020-10-31",""
"2020-11-01","0.970578489761791"
"2020-11-02",""
"2020-11-03",""
"2020-11-04",""
"2020-11-05","0.855749720265758"
"2020-11-06","0.8768313301429116"
"2020-11-07","0.8856389524650389"
"2020-11-08",""
"2020-11-09","0.8959038541725132"
"2020-11-10","0.9230060513908556"
"2020-11-11","0.9151210695338561"
"2020-11-12",""
"2020-11-13","0.9434863179728576"
"2020-11-14",""
"2020-11-15","0.8453889243117617"
"2020-11-16","0.7625488060935681"
"2020-11-17","0.7465663726863148"
"2020-11-18","0.7596886841124664"
"2020-11-19","0.7820231063594831"
"2020-11-20","0.8321724175004371"
"2020-11-21","0.9584401038382028"
"2020-11-22","1.1254949176855924"
"2020-11-23","1.1716582955400299"
"2020-11-24","1.1267552468647546"
"2020-11-25","1.0984384274293217"
"2020-11-26","1.037845765645679"
"2020-11-27","1.1205629746865087"
"2020-11-28","1.1452093947409583"
"2020-11-29","1.1116306241383926"
"2020-11-30","1.1174760987296561"
"2020-12-01","1.1600002393421496"
"2020-12-02","1.45528456566706"
"2020-12-03","1.574204626280563"
"2020-12-04","1.4060771129084406"
"2020-12-05","1.4548225575715754"
"2020-12-06","1.45515511931804"
"2020-12-07","1.510266480839152"
"2020-12-08","1.424752207298568"
"2020-12-09","1.4166494969923025"
"2020-12-10","1.5268358245313214"
"2020-12-11","1.3013088922924028"
"2020-12-12","1.4575114203728912"
"2020-12-13","1.512046148397011"
"2020-12-14","1.4427277351590027"
"2020-12-15","1.3121730757957175"
"2020-12-16","1.3799163400608148"
"2020-12-17","1.255472834663308"
"2020-12-18","1.2327241745438486"
"2020-12-19","1.17659793114398"
"2020-12-20","1.0673539268887149"
"2020-12-21","1.1261221386969131"
"2020-12-22","1.0899484707869547"
"2020-12-23","0.9478542606119728"
"2020-12-24","1.0097624560788105"
"2020-12-25","0.9873360325361725"
"2020-12-26","1.0083714867399274"
"2020-12-27","0.9874203750797657"
"2020-12-28","1.0480394848721148"
"2020-12-29","1.0175216425011573"
"2020-12-30","1.0824192011827052"
"2020-12-31",""
"2021-01-01","1.1710877020835522"
"2021-01-02","1.3006803731858778"
"2021-01-03","1.2777927246115968"
"2021-01-04","1.380032093188323"
"2021-01-05","1.5963148225674304"
"2021-01-06","1.656800472162459"
"2021-01-07","1.6164874141674357"
"2021-01-08","1.8177559411959585"
"2021-01-09","2.1341945929803"
"2021-01-10","2.058294276541039"
"2021-01-11","1.886472449624335"
"2021-01-12","2.0203057879929887"
"2021-01-13","2.4450284308315466"
"2021-01-14","2.5966170243863327"
"2021-01-15","2.8287518509797582"
"2021-01-16","3.583005272172964"
"2021-01-17","5.321573110671708"
"2021-01-18","5.279008883291707"
"2021-01-19","4.8605443697854485"
"2021-01-20","4.725769374583492"
"2021-01-21","4.714170506902784"
"2021-01-22","5.4799181773366685"
"2021-01-23","6.4990893811546195"
"2021-01-24","7.031702598669013"
"2021-01-25","5.936869715588979"
"2021-01-26","5.763973728598748"
"2021-01-27","5.422473552971384"
"2021-01-28","6.078737198015226"
"2021-01-29","6.655594350907505"
"2021-01-30","6.272577646933492"
"2021-01-31","5.5638206233130365"
"2021-02-01","5.908064038976211"
"2021-02-02","7.489925725828143"
"2021-02-03","7.231298424074048"
"2021-02-04","7.54121900759883"
"2021-02-05","7.878152806716209"
"2021-02-06","7.488360883574196"
"2021-02-07","7.127676163878645"
"2021-02-08","7.633064758131372"
"2021-02-09","7.5443229682415955"
"2021-02-10","7.537791692858865"
"2021-02-11","7.80349590460143"
"2021-02-12","7.537149955890997"
"2021-02-13","6.949632457756403"
"2021-02-14","6.341800252116388"
"2021-02-15","6.720056084921953"
"2021-02-16","6.109915729007894"
"2021-02-17","6.142364843360911"
"2021-02-18","6.618180353018908"
"2021-02-19","6.775799830747672"
"2021-02-20","7.282530832158503"
"2021-02-21","7.10578093465378"
"2021-02-22","6.393871962781922"
"2021-02-23","6.1477185038027615"
"2021-02-24","5.874601334412231"
"2021-02-25","5.458324438884533"
"2021-02-26","5.0899707119772675"
"2021-02-27","4.9360979115029515"
"2021-02-28","4.707134508650437"
"2021-03-01","5.175102849512221"
"2021-03-02","5.555791929475143"
"2021-03-03","5.656450919620466"
"2021-03-04","5.521215434974472"
"2021-03-05","5.871909985276828"
"2021-03-06","5.963449650195362"
"2021-03-07","5.516709313401605"
"2021-03-08","5.987305537537495"
"2021-03-09","6.802408686774193"
"2021-03-10","6.797576268637593"
"2021-03-11","7.379957220856058"
"2021-03-12","7.119076798874738"
"2021-03-13","7.6165074262392265"
"2021-03-14",""
"2021-03-15","7.67596522603676"
"2021-03-16","6.598072068031278"
"2021-03-17","8.982915262294505"
"2021-03-18","9.13847071612261"
"2021-03-19","9.864116764081494"
"2021-03-20","8.579039748162067"
"2021-03-21","7.955322808391982"
"2021-03-22","7.684658541686976"
"2021-03-23","7.125152026158388"
"2021-03-24","6.404285674573472"
"2021-03-25","6.017996268199503"
"2021-03-26","6.836719400542662"
"2021-03-27","6.512573913902601"
"2021-03-28","7.225898520709036"
"2021-03-29","7.37717939203496"
"2021-03-30","8.321380009111808"
"2021-03-31","8.409775111996042"
"2021-04-01","8.803307388398329"
"2021-04-02","9.665103182611997"
"2021-04-03","8.427230814509471"
"2021-04-04","8.950441466900541"
"2021-04-05","8.610455582286177"
"2021-04-06","8.211499416657785"
"2021-04-07","7.401897220611239"
"2021-04-08","7.82199726821462"
"2021-04-09","7.775713476386898"
"2021-04-10","7.538524790351515"
"2021-04-11","7.91613192084121"
"2021-04-12","8.01796833057865"
"2021-04-13","8.286718023665534"
"2021-04-14","8.10598892645051"
"2021-04-15","8.373721771836943"
"2021-04-16","7.480162410502946"
"2021-04-17","7.360378487114379"
"2021-04-18","6.352691780290951"
"2021-04-19","6.186856022795964"
"2021-04-20","6.142940091690597"
"2021-04-21","6.178052193736492"
"2021-04-22","6.011373650201585"
"2021-04-23","6.642315542504614"
"2021-04-24","6.399521497277732"
"2021-04-25","6.1717663864319485"
"2021-04-26","6.512877374102077"
"2021-04-27","6.507007571323558"
"2021-04-28","7.21855351716198"
"2021-04-29","7.197856951153111"
"2021-04-30","8.232244817415701"
"2021-05-01","7.807962909685892"
"2021-05-02","7.836250354571336"
"2021-05-03","8.629043801535978"
"2021-05-04","8.44720069573203"
"2021-05-05","9.08115787608039"
"2021-05-06","8.177504346637651"
"2021-05-07","7.998070996769323"
"2021-05-08","8.293494920496288"
"2021-05-09","8.111167497479936"
"2021-05-10","7.635392755131377"
"2021-05-11",""
"2021-05-12","7.624934133328643"
"2021-05-13","7.965306342193759"
"2021-05-14","10.90768626999591"
"2021-05-15","9.740011301905364"
"2021-05-16","9.204944213431919"
"2021-05-17","9.4571470973744"
"2021-05-18","11.865760921269567"
"2021-05-19","11.025976622638206"
"2021-05-20","13.370235747043713"
"2021-05-21","10.395913008534434"
"2021-05-22","10.324661178261376"
"2021-05-23","7.936177846459567"
"2021-05-24","10.531028844935044"
"2021-05-25","10.479046695680076"
"2021-05-26","10.25482620149454"
"2021-05-27","9.09422022069447"
"2021-05-28","7.834601481705072"
"2021-05-29","7.265695468566976"
"2021-05-30","7.742986132509684"
"2021-05-31","8.555104791518787"
"2021-06-01","8.861317600862915"
"2021-06-02","10.63070956468478"
"2021-06-03","10.285264845647866"
"2021-06-04","9.973015076940927"
"2021-06-05","9.891058337717222"
"2021-06-06","9.857786151145657"
"2021-06-07","8.90179036173356"
"2021-06-08","8.47001543563327"
"2021-06-09","9.0323469719931"
"2021-06-10","8.312429759162406"
"2021-06-11","7.561745576616398"
"2021-06-12","7.381049032065162"
"2021-06-13","8.560918379341192"
"2021-06-14","9.52729086833617"
"2021-06-15","8.367208988831832"
"2021-06-16","7.3829899177274605"
"2021-06-17","7.643104204469831"
"2021-06-18","6.96488064516969"
"2021-06-19","6.151580443243147"
"2021-06-20","6.052117424322449"
"2021-06-21","4.514421224054798"
"2021-06-22","4.9216293942131895"
"2021-06-23","5.184225311176782"
"2021-06-24","5.3511817280063525"
"2021-06-25","4.484507392702642"
"2021-06-26","4.086814692672278"
"2021-06-27","4.408298691269403"
"2021-06-28","5.523725972520665"
"2021-06-29","5.872764343537541"
"2021-06-30","8.254171331786473"
"2021-07-01","7.438124867757054"
"2021-07-02","7.6650892389367105"
"2021-07-03","7.913011366167328"
