"Date","Real Volume"
"2020-08-12",""
"2020-08-13","79257.27976375456"
"2020-08-14","3864778.0273722364"
"2020-08-15","56849003.269536585"
"2020-08-16","54945472.610894874"
"2020-08-17","31072766.90031518"
"2020-08-18","53688986.813052066"
"2020-08-19","40661094.472999096"
"2020-08-20","50074713.366262905"
"2020-08-21","27361328.382118814"
"2020-08-22","22910490.194804356"
"2020-08-23","26504103.19082793"
"2020-08-24","43616305.15520161"
"2020-08-25","59187832.720096834"
"2020-08-26","84480101.35111047"
"2020-08-27","104323466.13063459"
"2020-08-28","52511879.71197405"
"2020-08-29","45247146.66036272"
"2020-08-30","70530412.63457173"
"2020-08-31","57896917.95832058"
"2020-09-01","254120378.01200837"
"2020-09-02","100948462.49566337"
"2020-09-03","107597867.44460064"
"2020-09-04","51442744.0142578"
"2020-09-05","67430907.96678646"
"2020-09-06","68198620.62932442"
"2020-09-07","43379199.655380145"
"2020-09-08","30882479.43207678"
"2020-09-09","35237796.30722378"
"2020-09-10","54608494.053443305"
"2020-09-11","43039828.10258494"
"2020-09-12","66221399.6863009"
"2020-09-13","46804991.59308456"
"2020-09-14","30147205.889455378"
"2020-09-15","38055580.23886771"
"2020-09-16","43626038.92555226"
"2020-09-17","36321617.94882319"
"2020-09-18","35644254.92409743"
"2020-09-19","57635751.56163141"
"2020-09-20","59218491.84968626"
"2020-09-21","38737911.00752654"
"2020-09-22","30103291.211353164"
"2020-09-23","29176762.708038703"
"2020-09-24","23369912.17253968"
"2020-09-25","33650543.14683295"
"2020-09-26","40954362.42905845"
"2020-09-27","29563300.100394"
"2020-09-28","27758411.636206083"
"2020-09-29","20466253.84722778"
"2020-09-30","18126650.213540014"
"2020-10-01","24442219.786518995"
"2020-10-02","26218681.02133711"
"2020-10-03","19705505.914541237"
"2020-10-04","21548946.746673673"
"2020-10-05","22994138.816767074"
"2020-10-06","31790531.240120135"
"2020-10-07","32290645.615887117"
"2020-10-08","28530951.81725689"
"2020-10-09","32900528.322092906"
"2020-10-10","23314557.58952009"
"2020-10-11","17152665.11249278"
"2020-10-12","16046400.50541281"
"2020-10-13","12697513.592200179"
"2020-10-14","25140151.000973735"
"2020-10-15","11075701.42623416"
"2020-10-16","16865375.906270742"
"2020-10-17","13408591.410602627"
"2020-10-18","11003413.648187963"
"2020-10-19","16112209.95781049"
"2020-10-20","19490841.04802447"
"2020-10-21","15738257.101807656"
"2020-10-22","13050883.14767588"
"2020-10-23","13630313.803460501"
"2020-10-24","15677313.66589711"
"2020-10-25","13896080.423332721"
"2020-10-26","36956759.56166787"
"2020-10-27","77588571.2531592"
"2020-10-28","76998477.1866736"
"2020-10-29","43192480.68774061"
"2020-10-30","32009442.476209722"
"2020-10-31","17651018.17057015"
"2020-11-01","11252654.59482289"
"2020-11-02","14507015.427614285"
"2020-11-03","11375245.071040245"
"2020-11-04","12139742.390802259"
"2020-11-05","14307434.95165794"
"2020-11-06","22643823.942893725"
"2020-11-07","44530264.03100827"
"2020-11-08","20287131.276951697"
"2020-11-09","23634989.064588442"
"2020-11-10","42763843.41568841"
"2020-11-11","63773744.97120111"
"2020-11-12","32480193.237177327"
"2020-11-13","51304418.375598274"
"2020-11-14","69137429.61811593"
"2020-11-15","89172465.14646304"
"2020-11-16","67846977.90779963"
"2020-11-17","82279484.06297076"
"2020-11-18","80477407.30116233"
"2020-11-19","62619917.026329614"
"2020-11-20","74376851.33423139"
"2020-11-21","64175678.29290813"
"2020-11-22","68754213.01516049"
"2020-11-23","47614101.789454274"
"2020-11-24","52809791.4704626"
"2020-11-25","52475267.07975537"
"2020-11-26","61534867.76413192"
"2020-11-27","38832848.04999615"
"2020-11-28","24557778.77063229"
"2020-11-29","28186103.75997728"
"2020-11-30","37221815.175347075"
"2020-12-01","59992821.84084021"
"2020-12-02","70737339.62280521"
"2020-12-03","42695243.31887679"
"2020-12-04","38953732.37904482"
"2020-12-05","32266385.996183548"
"2020-12-06","23924239.6472254"
"2020-12-07","30130933.359741762"
"2020-12-08","27561912.659207396"
"2020-12-09","31477153.7809589"
"2020-12-10","21679917.0841952"
"2020-12-11","18777020.46783218"
"2020-12-12","20476491.716658328"
"2020-12-13","18784964.063843902"
"2020-12-14","20432674.148265872"
"2020-12-15","26599854.032066535"
"2020-12-16","28944685.469332427"
"2020-12-17","39746983.31354903"
"2020-12-18","23734995.127753288"
"2020-12-19","25146340.552062914"
"2020-12-20","27224394.2617664"
"2020-12-21","30990736.404175773"
"2020-12-22","28982035.74048518"
"2020-12-23","35498071.63710375"
"2020-12-24","25551415.15326682"
"2020-12-25","34520899.007737614"
"2020-12-26","14440274.032655755"
"2020-12-27","26751323.804784123"
"2020-12-28","21436503.360870592"
"2020-12-29","25736759.224455483"
"2020-12-30","71698364.22836755"
"2020-12-31","54101900.70072373"
"2021-01-01","51946498.48797003"
"2021-01-02","47577475.7854224"
"2021-01-03","52106305.776496455"
"2021-01-04","69040277.79247531"
"2021-01-05","60171813.13082552"
"2021-01-06","77192691.98274332"
"2021-01-07","54504881.803811274"
"2021-01-08","50555395.96528943"
"2021-01-09","63147889.61474029"
"2021-01-10","75172729.44555514"
"2021-01-11","65956391.52289527"
"2021-01-12","45205562.45841651"
"2021-01-13","37044577.42067654"
"2021-01-14","49797871.03678901"
"2021-01-15","341097685.9004702"
"2021-01-16","210153108.353019"
"2021-01-17","422750747.0952765"
"2021-01-18","214195334.13077486"
"2021-01-19","154552167.97249046"
"2021-01-20","281385905.07029665"
"2021-01-21","420719384.07008576"
"2021-01-22","407504563.1041385"
"2021-01-23","316121156.49058425"
"2021-01-24","285821719.6550818"
"2021-01-25","200770360.27000216"
"2021-01-26","233618250.59720716"
"2021-01-27","189392871.02226755"
"2021-01-28","210239286.8680889"
"2021-01-29","190060528.434783"
"2021-01-30","331138134.0008167"
"2021-01-31","328473693.6437051"
"2021-02-01","189692356.5557993"
"2021-02-02","177733936.70591548"
"2021-02-03","171804069.33550724"
"2021-02-04","364857632.8457558"
"2021-02-05","246205439.259634"
"2021-02-06","314026139.064508"
"2021-02-07","192615839.3615631"
"2021-02-08","175942654.58180404"
"2021-02-09","191244784.40279043"
"2021-02-10","224390212.6333059"
"2021-02-11","221000499.33834237"
"2021-02-12","200318586.83937678"
"2021-02-13","201714644.57092193"
"2021-02-14","147525435.2993317"
"2021-02-15","274690205.2092067"
"2021-02-16","149285300.0008567"
"2021-02-17","134871911.11440346"
"2021-02-18","126159789.07005133"
"2021-02-19","132244185.41210845"
"2021-02-20","344224650.48158664"
"2021-02-21","163186653.36308125"
"2021-02-22","223894381.72804648"
"2021-02-23","227786940.29297042"
"2021-02-24","156245343.25410503"
"2021-02-25","112277322.78524017"
"2021-02-26","116978504.30018543"
"2021-02-27","84443123.85065833"
"2021-02-28","107821875.89973785"
"2021-03-01","78042822.85386409"
"2021-03-02","331681088.0066292"
"2021-03-03","219315645.2992849"
"2021-03-04","147089880.61364368"
"2021-03-05","93306941.26032254"
"2021-03-06","83687691.68280308"
"2021-03-07","112334907.26394555"
"2021-03-08","172765538.4658549"
"2021-03-09","113056732.03657539"
"2021-03-10","113730494.07795297"
