"Date","Real Volume"
"2020-01-01","118106767.2896575"
"2020-01-02","158511384.57515454"
"2020-01-03","297391535.15703285"
"2020-01-04","133204056.40092188"
"2020-01-05","193173653.06749585"
"2020-01-06","302605792.3492842"
"2020-01-07","277336053.52372885"
"2020-01-08","380895874.8447537"
"2020-01-09","220213751.30341208"
"2020-01-10","281576744.0039279"
"2020-01-11","253883110.5459985"
"2020-01-12","162121660.99144098"
"2020-01-13","155381091.37539956"
"2020-01-14","919809691.5656583"
"2020-01-15","593890667.3253866"
"2020-01-16","371794709.0125778"
"2020-01-17","591421577.0337611"
"2020-01-18","581232107.7786547"
"2020-01-19","483175817.49504894"
"2020-01-20","261235752.44477025"
"2020-01-21","223238922.70720962"
"2020-01-22","207367843.23126873"
"2020-01-23","274566571.4821489"
"2020-01-24","304616650.1002073"
"2020-01-25","145593412.99511626"
"2020-01-26","197313602.70481578"
"2020-01-27","308327565.8653689"
"2020-01-28","326731346.28545994"
"2020-01-29","278442205.2739644"
"2020-01-30","422452400.4512888"
"2020-01-31","362128227.04630756"
"2020-02-01","258365445.2694945"
"2020-02-02","439155492.33911854"
"2020-02-03","365743940.7867288"
"2020-02-04","252745300.4884513"
"2020-02-05","540277623.1146736"
"2020-02-06","632958844.1240667"
"2020-02-07","667873249.5275142"
"2020-02-08","642878997.4415572"
"2020-02-09","458589819.2343492"
"2020-02-10","578516984.024584"
"2020-02-11","597987818.1892537"
"2020-02-12","1213698425.9856982"
"2020-02-13","1403786086.9613414"
"2020-02-14","1025663639.8194009"
"2020-02-15","1231810511.0803196"
"2020-02-16","1347634717.5846515"
"2020-02-17","1288314524.9999306"
"2020-02-18","1328136261.9928775"
"2020-02-19","1198480739.611606"
"2020-02-20","1020587781.3559092"
"2020-02-21","701605068.5701859"
"2020-02-22","400383054.01526356"
"2020-02-23","555885745.7480189"
"2020-02-24","896115782.9551449"
"2020-02-25","911724218.7250104"
"2020-02-26","1552083813.3551662"
"2020-02-27","1377217380.8329968"
"2020-02-28","1081242929.1232567"
"2020-02-29","651179605.1829624"
"2020-03-01","718066514.21506"
"2020-03-02","825307111.4498777"
"2020-03-03","785872622.7973332"
"2020-03-04","510834376.7345949"
"2020-03-05","678047189.779763"
"2020-03-06","780547252.4289178"
"2020-03-07","798038750.6898191"
"2020-03-08","1245162730.4027572"
"2020-03-09","1508337607.086984"
"2020-03-10","832472123.311315"
"2020-03-11","900275187.1440761"
"2020-03-12","3027853784.3577514"
"2020-03-13","2821547116.4656453"
"2020-03-14","640811103.9425378"
"2020-03-15","743082371.6997232"
"2020-03-16","1246665044.2986097"
"2020-03-17","657071146.390478"
"2020-03-18","491069396.64410436"
"2020-03-19","1070937844.0637429"
"2020-03-20","1441818308.210011"
"2020-03-21","568921309.8684781"
"2020-03-22","568984342.6353242"
"2020-03-23","729155436.9103608"
"2020-03-24","716841144.8819606"
"2020-03-25","534981988.6297156"
"2020-03-26","330686894.90785426"
"2020-03-27","428801441.65141034"
"2020-03-28","428141289.27456474"
"2020-03-29","263971375.67104125"
"2020-03-30","386012986.14036196"
"2020-03-31","264630038.14418092"
"2020-04-01","346757983.99539673"
