"Date","Price (Close)","Real Volume"
"2022-07-12","1.9592412794221532","23441611.166260865"
"2022-07-13","2.1038300046868508","34297110.533151485"
"2022-07-14","2.248051181453186","33764136.821426295"
"2022-07-15","2.1594902315806768","33902200.07326006"
"2022-07-16","2.2656358571626516","24576082.422473144"
"2022-07-17","2.15798140052508","19790322.90342105"
"2022-07-18","2.648974389415887","60965562.23830483"
"2022-07-19","2.8110265311130247","70484855.01308644"
"2022-07-20","2.6413098360334915","46931722.30709527"
"2022-07-21","2.978835916080657","58607290.34414706"
"2022-07-22","2.6587762101761414","43331643.366851985"
"2022-07-23","2.621558799413713","29063574.945751797"
"2022-07-24","2.6324885498093344","25130760.486444972"
"2022-07-25","2.3486638048122295","27092102.39728599"
"2022-07-26","2.3233915400351446","23098217.821832392"
"2022-07-27","2.731228668197222","46793645.843620665"
"2022-07-28","2.8493376152732726","59201917.330629684"
"2022-07-29","2.693216050939664","54262766.153148"
"2022-07-30","2.6399352857032024","37759820.881335825"
"2022-07-31","2.6005418440551744","34243718.44253679"
"2022-08-01","2.5574942353537464","25035361.33943166"
"2022-08-02","2.597457179206737","37861169.33923114"
"2022-08-03","2.669203917827325","43251340.87038717"
"2022-08-04","2.5837519921402605","38158522.829519205"
"2022-08-05","2.744857156518012","28462887.865858555"
"2022-08-06","2.674940922694165","18065210.313775122"
"2022-08-07","2.779","22373705.504183937"
"2022-08-08","2.8877471604389022","36732576.72112475"
"2022-08-09","2.6892541526802423","28953336.543145537"
"2022-08-10","2.9231021984255188","38414062.10288089"
