"Date","Price (Close)"
"2020-06-15","109.73373108790076"
"2020-06-16","74.97693005452217"
"2020-06-17","66.6177252113213"
"2020-06-18","147.15470685099444"
"2020-06-19","216.74417091608842"
"2020-06-20","260.80078021600775"
"2020-06-21","331.09998365218814"
"2020-06-22","268.0180187339518"
"2020-06-23","240.8"
"2020-06-24","206.73"
"2020-06-25","228.22243929752065"
"2020-06-26","261.85506266289383"
"2020-06-27","230.41003726611302"
"2020-06-28","244.372169603034"
"2020-06-29","233.6464352617945"
"2020-06-30","215.6710072465495"
"2020-07-01","200.99777303821324"
"2020-07-02","180.09257038558346"
"2020-07-03","171.72344197724578"
"2020-07-04","180.14463410055933"
"2020-07-05","201.01692080210668"
"2020-07-06","194.99945781415954"
"2020-07-07","187.41087830570063"
"2020-07-08","184.62961097909272"
"2020-07-09","180.07228221784283"
"2020-07-10","175.1121865157838"
"2020-07-11","178.1606158821047"
"2020-07-12","175.99112996888636"
"2020-07-13","166.32577493928244"
"2020-07-14","164.11408909093893"
"2020-07-15","160.14471175424873"
"2020-07-16","154.88797588295475"
"2020-07-17","167.11388086321637"
"2020-07-18","163.99667247874504"
"2020-07-19","163.46420010334447"
"2020-07-20","157.95950038472142"
"2020-07-21","159.72325592442655"
"2020-07-22","158.02118173726873"
"2020-07-23","156.18328358867808"
"2020-07-24","155.55946820052517"
"2020-07-25","155.87552602524744"
"2020-07-26","157.52939372333242"
"2020-07-27","136.0217578324274"
"2020-07-28","136.79214337680455"
"2020-07-29","133.32597858201513"
"2020-07-30","133.35"
"2020-07-31","134.87273828078773"
"2020-08-01","138.14535540773335"
"2020-08-02","127.31331350171942"
"2020-08-03","126.6964700366234"
"2020-08-04","132.00240602710736"
"2020-08-05","134.92546274934088"
"2020-08-06","136.9211889083744"
"2020-08-07","154.64576740126589"
"2020-08-08","152.84384727000443"
"2020-08-09","170.8165396256389"
"2020-08-10","176.81275839756648"
"2020-08-11","196.08186031789432"
"2020-08-12","218.43385661547558"
